alpha0,alpha1,alpha2,alpha3,alpha4,alpha5,beta1,beta2,beta3,beta4,beta5,lambda0,sigma2,xi
2.3878174981340026,-2.9269177213381097,-1.275056079628548,-2.6931555200298765,-2.564675374576145,-1.9925959749592743,33.98387824143262,5.116276102180283,10.603228367801307,7.510163615867252,1.3892121166564395,8514.878730890385,0.18658871570760724,-0.005440894033667457
2.386110635321362,-3.130347907825153,-1.2775091532115705,-2.3763835918128167,-2.6163223590015616,-2.175256897978285,34.172993625454396,5.15485318631267,10.802981488102038,7.624727186052407,1.2799150317383066,8443.209353099039,0.1893448560664632,-0.005162446911275917
2.3932180588667826,-3.4485039468690903,-1.295005016844291,-2.0780135770135293,-2.190929268841321,-2.747224898982588,33.47284096904938,5.226381466865171,10.795902942953493,7.2858157313245515,1.5207745467214082,8499.582718066515,0.1884939511108935,-0.005425852151049907
2.3995942833364996,-3.0612511550899297,-1.7056700534003042,-1.9348753759361597,-2.9214589989685553,-3.1303486052369403,34.30188985951825,5.169932952409053,10.469514146850653,7.275922054081982,1.8073645005565075,8450.05472534923,0.1821476642461509,-0.005165537667888264
2.3903861798655996,-3.204142549633404,-1.2682448395454113,-2.4203912927397453,-2.6257423911877367,-2.1237453406287616,34.05424733869281,4.7968586859048035,10.76123627179795,7.373331185136211,1.903252458422456,8419.960605768872,0.18976147501477664,-0.005054636004158914
2.381287343860803,-2.8968641016625543,-0.9618748916959966,-2.5220791662063,-3.048901204798314,-2.237073374886018,33.67107021846376,4.643197671316909,10.573484057039776,7.735694776585411,1.726913545990555,8610.794322129272,0.18941605984837262,-0.0053280506339867
2.365284654140166,-2.592107021572574,-0.4095451680210595,-2.3463078105033226,-1.9427975709328513,-2.18958777731592,34.16270013125263,4.821791563774552,10.38042436488611,7.569932137116954,1.8872656674734543,8488.113576216048,0.18629565141767698,-0.005353546983099545
2.355891959599847,-2.222840982729996,-1.512700925758629,-1.449712249590003,-1.7852769070320675,-1.670117739651693,34.08144892684362,5.180482697379495,10.79928293589065,7.389519342855309,1.4536316247535104,8479.206818229623,0.18913874567018324,-0.005020343619697406
2.3568768492467327,-1.9110438616709353,-0.9208206160983875,-1.377789938539202,-2.0492685938820507,-2.6205001900474105,33.63482030538672,5.233919174255853,10.447447114894954,7.6651039222950494,1.3252542260768887,8419.515627332987,0.1915330670861765,-0.0052741726807775955
2.373045629698831,-3.002864281972163,-1.3579834927748864,-1.4042467529734874,-1.96422293446764,-2.8069706850506413,33.87445107280669,5.215154827288647,10.479397994314398,7.827078417418925,1.3125475260039723,8438.87041861314,0.19191723175244405,-0.0053018553590868335
2.379516327060738,-3.1220101203519617,-1.9956019669582439,-2.0262886397997977,-2.533016923057262,-1.3314866448252611,34.312086917747635,5.248981867132627,10.342914618514868,7.784143348292356,1.3150237723082956,8410.021645731418,0.1895497266845437,-0.005171778884341505
2.383992110598528,-2.5628665539158137,-2.1302946662327615,-2.7605157728234078,-2.2154221082036636,-1.4263922614824898,33.96077868524422,5.106566943772833,10.813345772546205,7.986186894554416,1.148718212558347,8293.297702852375,0.189116308296536,-0.0051712222472774065
2.3844286623636,-2.6630516433617264,-1.6887670243521793,-2.535685534707667,-2.526005655706711,-1.8538482942963965,34.027230686159044,4.792957153279121,10.78103710299096,7.8412082690830385,1.5471083486581756,8277.513708347406,0.19129888216097626,-0.005412478538981315
2.379895087746741,-2.654608267139915,-1.8472896107910204,-2.2923967595852126,-1.7851420309076804,-2.494085631937387,34.245376484380905,4.882697104450483,10.330709579184747,7.872563728719166,1.6412280846688159,8488.290140047577,0.18712912108077526,-0.005191925543599648
2.377252134146845,-2.666045194170086,-1.641731801590283,-2.4729437082437893,-2.610861370034417,-1.6352848089789733,34.0425817992747,5.084250643947394,10.322413768967944,8.066190894977678,1.2234348878211263,8479.03862687878,0.18665140477282988,-0.005335342016566291
2.3837253459315386,-2.89607503985103,-1.3794400004537182,-2.3933172465023245,-2.527341360766497,-1.6749574823402096,34.25264674142036,5.1372426544682535,10.252603239984303,7.628707395413545,1.523581299928659,8510.975880517752,0.18697811936247502,-0.005334969456793548
2.3687596306351724,-3.3393464625072453,-1.4674472944976127,-1.868769451145222,-2.2556853723069135,-0.8650473781070108,33.81474972376345,4.574530875817939,10.391143006568276,7.915753932880322,1.528088739600768,8627.799230417178,0.1876698397879562,-0.005210866422467372
2.365472320280724,-2.7147112922055268,-1.707885736901838,-1.868769451145222,-2.063778733861296,-1.2904873235756167,33.956965115875455,4.6833321813981685,10.646603325057422,7.6989164084487625,1.5079065284038284,8710.81650420966,0.18553216484068058,-0.005331428338014086
2.372093035444388,-2.7529059991627554,-1.4001239945188146,-1.919399693547976,-2.345836287973869,-1.9000513365732283,33.53025802352943,4.82253570996423,10.61228940988986,7.63607817000415,1.7347990494770171,8624.641104274662,0.1867013390886933,-0.005045962354821931
2.3753067999315056,-2.9294469285582894,-1.6894611752983066,-2.7842302172258564,-2.4930530065879695,-0.945051301685832,33.6929185682729,4.924270679925337,10.720354049429503,7.532532263524204,1.6497054619720406,8586.085249237605,0.18957955398934404,-0.004689183415887669
2.3573252393073183,-2.373589087936593,-2.0631285085904265,-2.184939864569904,-1.254566576017719,-1.165692908823695,33.4806471134559,4.6660572090869605,10.65805172636571,7.989138323623806,1.5462017558287535,8507.789744048743,0.18852061818209315,-0.0050007620414439045
2.3695212361006033,-2.853864981888682,-1.7454909770786586,-2.412470580593207,-1.3984176532362111,-1.150274438128806,33.649422004579556,4.615042492444483,10.487051340308403,8.054916594055566,1.6465604546625432,8530.372538337206,0.18579155969940858,-0.0052079708915737976
2.3734544684341676,-3.0874815413860546,-1.3316127228813022,-2.5332732899657344,-1.8928034635949906,-1.0739961850453459,33.97088719071848,4.895180932466622,10.456213187232443,8.029879613522937,1.6570320186504663,8351.226769142424,0.18488808032212256,-0.005331510799997086
2.3632969872282485,-2.3395557420169855,-1.5100099889494751,-2.647143936387498,-1.4415809007179283,-1.4946891555697293,34.376526851179484,4.7894836540847985,10.37746699064438,8.026626658921083,1.7758855158125166,8411.68509451472,0.18741807065070865,-0.004957547336910123
2.3645842793188088,-1.9498994042121094,-0.7963266687768669,-2.5093419514621154,-2.7804957834395254,-1.4294259404231973,33.8528571241665,5.022245169614603,10.3690399551249,8.077849611147702,1.6378508940585967,8348.374379430514,0.18969124475146854,-0.005294992722381668
2.3704221981234332,-2.2471702009147,-1.9877126843380615,-1.2297387345637523,-2.5004959250002465,-2.4248825005722767,34.2256927181451,4.5165746672144245,10.507940241569893,8.032890171466708,1.6080726269771686,8459.492075976488,0.19008782675919705,-0.005190611024520272
2.3733141044898374,-2.315036087792189,-1.6915947032258651,-2.2262908747603802,-2.3876660918287467,-1.4971073249144011,33.71974043358968,4.443605949208907,10.80341197258865,7.717022253808139,1.855388478109609,8489.97591901919,0.18570087485299197,-0.005297122084846962
2.3618635212587713,-2.6886173808939517,-1.3460309427433967,-1.9475998591876325,-1.9510949546971779,-1.421663267608576,34.20558680096228,4.828520196109064,10.498939841163741,7.729585476909634,1.7774259794960092,8353.10018825627,0.18593269313067706,-0.005092106140872053
2.3660628710106044,-3.202322906960387,-1.169339737410227,-2.0290113859730377,-1.8982300660142457,-1.605330732985739,33.959467752474374,4.745568241125698,10.654733897781693,7.59784443336616,1.6892792696668484,8431.565410784715,0.18789749198714342,-0.005057121989537579
2.36633048666266,-2.5119427766724973,-1.6893320748545235,-2.4695733518617176,-1.6618175818262173,-1.4158319781094393,33.91512598672438,5.117971881692748,10.540631047353543,7.2058885930400205,1.5930506592445173,8620.091829524816,0.18552964823202023,-0.005220612019677548
2.382700443744528,-2.8821783116920314,-1.8156554460778784,-2.7690331317168435,-2.0105242340818354,-1.5822219979082035,33.47670813293267,5.31599927642385,10.692030938024873,7.158088920372589,1.568236587336591,8489.344155791916,0.19127912939610123,-0.005376577485163492
2.3716542628107966,-3.140045384574918,-2.400182742911429,-2.077456370613845,-0.9328864851565887,-1.5234302522826546,33.25006693109923,5.087253834702443,10.546312429890577,7.07415273492286,1.8678360002371912,8533.12962859879,0.18645318264662672,-0.00534024507307539
2.3596866695516154,-2.436370424548658,-2.4424769646868065,-2.0485685013440937,-1.5616358037901188,-0.7772077517827004,33.70577849801035,5.220782125394491,10.308148196611334,7.372469651447108,1.7501636395341118,8451.080922669418,0.18641809005884583,-0.005260477677017589
2.361727852587854,-2.852992713346455,-1.7749970241600814,-2.2065844175465097,-2.581037310882774,0.10779607739467661,33.66110234985209,5.117573058493773,10.849208585158296,7.230673466469242,1.7686525198856358,8354.09023507558,0.18542373963167835,-0.004893118011481223
2.3535427226921484,-2.874165758736872,-0.6547876462789808,-2.7804883273299494,-1.832367489210638,-0.15027632560572474,33.60510352635131,5.385500285152263,10.66837989978908,7.31386447082235,1.5132484505686754,8486.752876377866,0.18967545679505782,-0.0055273779567197815
2.3527593273213854,-2.8172601154045305,-1.2339100280382365,-1.6108916585242774,-2.1309286524852755,-1.2704409218450057,33.5282265919842,5.294623540342097,10.608402900483297,7.054442044019712,1.4445899947156287,8616.245247171833,0.19003057394925849,-0.00514163419063023
2.35575710065479,-2.867082064595528,-0.9369838670050116,-1.9556186311672183,-1.8754384092587555,-1.0667827219090786,34.37850834485899,5.4692374156904835,10.4808209804364,7.066882088961094,1.27995728863299,8520.110479044608,0.18953066857752032,-0.00539589245175634
2.355793836843445,-2.1518765930619455,-1.2608180403930658,-2.4004527605535357,-1.7552840929474847,-1.4937390814352822,33.75382017085065,5.5232734472153036,10.457879398202543,7.192526013158659,1.252567956925632,8562.686190600694,0.18710861894861755,-0.0055076979739764505
2.32930149292684,-1.840976931531793,-1.2411920005032933,-1.4524143468874944,-0.9002414987624374,-0.6488391611369977,33.421155803547634,5.968157470160515,10.769637097131003,7.005996696654053,1.0794735332604568,8479.604056408778,0.18444458176168704,-0.005141373874198719
2.3478813661653475,-2.1956303875831273,-1.9190182411208643,-2.3691013239800895,-1.7533402961761722,-0.3940845848230503,33.604426782862525,5.9671893486942995,10.692219319191878,6.773560246372353,1.0227927806864177,8448.85894982686,0.1894165305868338,-0.005263041876150459
2.3460181463275682,-1.8954371717192395,-0.8659101360646421,-1.6938436337324547,-2.3270815537462237,-1.1836954288147012,33.33515546078814,6.271242911426468,10.447872195236569,7.056243185921925,0.9740259788769855,8488.04649922028,0.1892654454579277,-0.005264640899003988
2.3493373243248983,-2.662048616525632,-0.5368221680851253,-1.9549401748510902,-2.385670412993561,-1.0267862790185738,33.844272089646786,6.038894651346746,10.780984945484585,6.976805046267627,1.0241292233871706,8448.408084680093,0.1875200722428102,-0.005123482690868729
2.3527565063780624,-1.8297963200460665,-1.5108161405062857,-1.441907267465616,-2.201356786835445,-1.4670435191455549,33.429192436721266,6.162217432226011,10.825738004687395,7.104555321954604,1.02681738772559,8318.397811528806,0.1870948818717165,-0.0053044699854626655
2.336722681683801,-1.5660932863121912,-1.392537032617736,-1.8799245539437328,-1.9896857831351085,-0.18258748205624534,33.76843017289139,5.779551664818889,10.725432306111777,7.528657747084767,0.9231892327560207,8382.089358630601,0.18830126334055278,-0.005316345463982711
2.3290981797602632,-2.310580004472774,-1.2823087582814765,-1.1648299217862457,-2.1233813559435166,-0.13057069487553707,33.57654912830611,5.401195832459573,10.755958809001678,8.06674599343468,0.516092490343754,8567.414324855481,0.18733210412623488,-0.00514618119011653
2.3377643983963154,-1.7472074233170816,-1.441010588709836,-1.6439564307897432,-1.5946927775796753,-0.6360951441298606,33.536855618295625,5.601286876020128,10.836138983020739,7.963525101115313,0.6545825990773522,8479.799364680124,0.18901100743440388,-0.005226834859435091
2.3295403535552914,-2.558185166007994,-0.6133728777741674,-1.3111081278524799,-1.8708102085881064,-0.9008639862509987,33.55916333908291,5.658284104279968,10.751592839969419,8.013168424574404,0.7305296845320346,8582.915434165834,0.19116341169337014,-0.004963525887899796
2.350685318771092,-2.9749499758697437,-0.908188585136952,-2.0710417117389257,-1.4902309065804409,-0.5812194910376242,33.562231547321836,5.6023702803527735,10.79948881253203,7.809460642375279,0.8520262703179691,8580.469438840855,0.18701073140075042,-0.005043372901776102
2.341860490827096,-2.1302295593801124,-0.6365925577426281,-2.1440556033164384,-1.1897582384004508,-1.4605892350248917,32.98218362640072,5.94236856746519,10.832507758539851,7.334498918037361,0.7469802110783362,8488.011352024267,0.18292750824828555,-0.005242708286009978
2.3475754023026507,-2.3083516383469234,-1.715335584124332,-1.3765260514740283,-1.5471888624963201,-1.1970662754363721,33.14424674703455,5.885982839476602,10.827750574483327,7.42945381494852,0.7339692159116209,8560.915746699728,0.18880048063527247,-0.005155580116310367
2.3534197379155315,-2.561641265301263,-0.8679260567300761,-1.633533657400356,-2.0846176308494657,-1.0178363185690635,33.11561720513614,5.957761441690943,10.843893957336784,7.148905409685463,0.6127942435730832,8630.38992682471,0.18819604189301142,-0.005459133946889573
2.3564199964985737,-2.224746283876039,-1.6856043157338565,-2.27104995415136,-1.818835851869722,-0.2975135611651431,33.19301389470137,6.125870894025306,10.56011040396485,7.470582971635239,0.7860097042275545,8593.960705881887,0.18928627028880296,-0.005280186473435248
2.361809239298723,-2.063213697978137,-2.7181542913082923,-2.595128039680842,-1.253839389700203,-1.0482434309073605,32.99347309824047,5.943038325494433,10.87822938479098,7.28665637228019,0.8097885959217108,8597.077126526434,0.1888704667452674,-0.005486949102902063
2.361212486309263,-2.608553661746886,-1.0149051604324082,-2.554607782234504,-2.599628699938549,-0.6991869491486522,33.35555436274606,5.847030924060339,10.652908362309786,7.141983931750708,0.971665749967409,8580.841561028486,0.18923739014188787,-0.005477966245835258
2.3674996503392634,-2.7735245616850817,-1.5151541502586134,-2.2937296418002537,-2.436721813007943,-1.1303097506019562,32.77158546575182,6.545698302338066,10.611387533624018,6.673578945038499,0.9052694103637214,8657.992692783397,0.19017993516736353,-0.005359370108031368
2.3533202923569436,-2.447754056447254,-1.263826024293171,-1.9364273766724838,-1.6446504245237576,-1.439669952264004,33.02434962605609,6.848435033913772,10.516456767846798,6.157329961936316,0.8656282171680642,8717.489024838309,0.18883124081249944,-0.005364462449531577
2.3356752081719203,-2.290909738150261,-1.204232552130807,-1.5825020773047007,-1.5271874395373204,-0.3726249033241522,32.67180712288532,6.792949762877702,10.947348833689649,6.578173913454008,0.5482924112201482,8608.29002956429,0.1877768354522744,-0.0051709517799805324
2.3581949045605217,-1.9140296818117304,-0.9543369282599778,-2.6870119103913046,-2.4580832611931114,-0.6442683424328041,33.07179122136161,7.189310255222859,10.683252311193726,7.009186895347024,0.23109340670709125,8577.717261360542,0.1897988660684184,-0.005207608643211953
2.364884388196638,-2.2092283273847912,-1.3898616826780885,-1.8900672290409362,-2.6119050338392245,-1.6511751976431492,33.23897211294933,7.099112354868673,10.507337138665171,6.702204428227604,0.47110019624334876,8639.102496782592,0.1896825381800017,-0.0050887245576702
2.376139020344429,-3.1769358629660145,-1.3944164379862505,-1.8099898284094635,-2.804378577314998,-2.2135252298824497,33.27647199100562,6.845748963132557,10.468880229006222,6.832151229286043,0.6189692834269211,8585.36223274127,0.18631163587661345,-0.004849660177756747
2.372935584162553,-2.169819240719548,-1.248118617225757,-1.7039182097974024,-2.3589723445010335,-2.285770702589728,33.64805228684177,6.931142567112737,10.445316152397833,6.875601254410466,0.3346257026433485,8523.54184401778,0.18411920227051115,-0.005697658526350285
2.3720420753931704,-3.29841792340192,-0.6700099538419158,-1.7971549069760573,-2.3763023931677485,-1.8328149572379457,33.12520914360794,6.959510120714534,10.826854689296054,6.613520987709777,0.38045247567138796,8476.62921069837,0.18819867136539892,-0.0055803522258144065
2.3699283134061533,-2.387445069228553,-2.072752909496047,-2.3431208741619365,-2.2799482010027297,-0.9498612133634119,33.34780434687331,7.00912859882732,10.926453374822431,6.730075161454022,0.3882284822287491,8456.845511774269,0.18753515681517113,-0.005154630652532872
2.3727459799714374,-2.8573434347141937,-2.114737635491849,-2.441570554773128,-1.780216356433363,-1.2570293107522656,32.945801842315,6.929276529037187,10.742590022802206,6.6368220994181355,0.4318097982826796,8499.48623307877,0.18992301513392537,-0.005180067150318868
2.3723277365364774,-2.57231727177311,-1.1233127762319643,-1.5692797308060813,-2.7750845418886283,-2.316543623271393,33.26612182192389,7.104958715143489,10.883487713385605,6.6286945695069734,0.2778948709113125,8590.892206056316,0.18627015647932424,-0.005293967770258159
2.3595770430069907,-2.344704482543494,-0.4752101137852964,-1.7574873717750394,-1.819221145328342,-2.296787611990223,33.330531431730805,6.789377670649048,10.8062258802228,6.658242363072884,0.6567990908375467,8369.054500930211,0.18772622266600145,-0.005336132606843056
2.3624236829015333,-2.3137581739514173,-0.9110645942542601,-2.6060701976759986,-1.2113363768207077,-2.453352014560551,33.4597559389585,6.57634448729087,10.754245355925457,6.896459905281406,0.7925053551926344,8496.606227828821,0.1904277333887926,-0.005193589671458423
2.374927316794562,-2.352089427256779,-2.05651283405317,-2.471151760685424,-2.238925322600634,-1.3454038812226137,33.52062650847648,6.694636414302475,10.769020953069887,6.6032729210261865,0.575983589472832,8464.496220452556,0.1882628025351349,-0.005273026703979705
2.3676042494267646,-2.2561123662512035,-1.7986280867965936,-2.5098644239434647,-1.5157949703998288,-1.5603201139510166,33.122135576102046,6.509501854388787,10.667667534779772,7.159002132967117,0.5053850346217125,8433.975267165739,0.18803358398356496,-0.005241578221940587
2.3675335776397137,-2.8187225678201706,-1.349014812955016,-2.6161287526369152,-2.0627421431266457,-1.4428616878278242,33.368406405760176,6.475483609460246,10.634655429946642,7.406215129407514,0.3674323105486908,8496.677850625623,0.1892588137425654,-0.005366029014910739
2.3744178545798738,-2.2109110612694547,-1.5736215973584835,-2.5312227029783414,-2.218659264002303,-1.888198757354097,32.967145385237444,6.542636083523042,10.877536820191581,7.144803588110631,0.4342780480982918,8608.55142235588,0.1865742386118156,-0.005127164852014868
