alpha0,alpha1,alpha2,alpha3,alpha4,alpha5,beta1,beta2,beta3,beta4,beta5,lambda0,sigma2,xi
2.259542830643196,0.150406025629288,-0.07292302736018982,0.05676104340198449,-0.08657442344189795,0.010022064510223697,34.16559015659394,4.903594637445905,10.52517509608288,7.798447141558214,1.5553868607881134,8346.0198628205,0.19245457014925949,-0.005229314900429776
2.267911657512922,0.20023417293526422,-0.07111416439771226,0.029845553859188283,-0.08168928730709407,0.014098518673956624,33.80775711759274,4.951390464368766,10.685230779211587,7.257639938918807,1.950814843143787,8415.638385712544,0.18727612293816476,-0.005333473554544332
2.2623648710770143,0.1496050708808263,-0.05569626762550048,0.043218791897827125,-0.09622491771597845,0.006681262351118964,33.619170846869956,4.7555712024783565,10.53976968430106,7.511861633360363,1.9070795553548345,8619.982558078696,0.1869629695681889,-0.005312564602245847
2.2564136517982423,0.1603488713437388,-0.057399461673688854,0.04080104999256681,-0.10014038425556035,0.05819453907419557,33.76839722157647,4.738546759873502,10.71864183416765,7.588408544796165,1.8816411318878246,8517.434410226602,0.1883194020646836,-0.004930182751969247
2.260628598554983,0.15107063846425442,-0.07059625262370786,0.035162849689438405,-0.1074849443393586,0.008404909597706362,33.47621833880679,4.678783766873855,10.789889855650577,7.585686741576792,1.7018498560223205,8576.143150902612,0.18452841913613208,-0.0053794021482836685
2.2546767564474983,0.18189494945394896,-0.05013459579046942,0.03477162846578935,-0.09360339023921312,0.03395601194612389,33.78843101244318,5.007805609182015,10.481800851354718,7.495012141650477,1.645181279124985,8544.314661986118,0.1858493535666452,-0.005148812899460169
2.2437831583790104,0.15360990214797132,-0.05685953230319605,0.05422018025091685,-0.07493123307833174,0.07057560850886445,33.908866051821484,5.066898343371878,10.681752147595661,7.379507110944891,1.746229369597756,8493.470102318735,0.18965629160529549,-0.00527833898996804
2.2370069046575605,0.16239169200142595,-0.03021214579324827,0.051644752830559595,-0.06543186157101445,0.04715544875982148,33.648414861002315,5.078897800007623,10.829194415497357,7.074027421979591,1.9662821428448025,8430.708468593673,0.18606005519886382,-0.0052102584219762115
2.248542286595418,0.15045460841762412,-0.029350820778499227,0.03566692607028947,-0.06792081097544243,0.028462304445666102,33.00485670388495,4.922505634039748,11.08534988650297,7.480566965803099,1.581831905282993,8583.732406424666,0.18740215251222878,-0.005109723646947739
2.2468597742176546,0.17759832479888407,-0.04746044011460211,0.04852601690716237,-0.08602684666671595,0.019346841719345146,34.258769703343724,5.016124170139259,10.553274847519763,7.650476561682703,1.7541831164149329,8374.9144648123,0.18865468104825087,-0.0049369737430016965
2.2483612766098635,0.16621964222282523,-0.0649097367759748,0.06616636761884717,-0.08335392931369678,0.020067848027973387,33.85264911719837,4.668178072407714,10.651357338863368,7.92229824613883,1.64397348798154,8413.767422606148,0.18624604357280355,-0.0051640177828338974
